timestamp,s_signal_1,s_signal_2,s_signal_3,regime,regime_prob_0,regime_prob_1
2024-01-01 00:00:00,-0.6514188567571931,0.31559678185880286,-0.14668857555382112,0,1.0,3.9368300435460434e-25
2024-01-01 00:05:00,-0.03539400645093686,-0.04334290463371238,0.2952217592113834,0,0.9999993567800879,6.432199635412809e-07
2024-01-01 00:10:00,-0.3359098817888811,-0.08966283148393976,-0.02597080986351326,0,0.9999990992868752,9.007134207972953e-07
2024-01-01 00:15:00,-0.1834205355389997,0.035104259131355085,-0.03600222277747868,0,0.9999990726987313,9.273013819946077e-07
2024-01-01 00:20:00,-0.2549195332847347,-0.5094728817717963,-0.44817615048988535,0,0.99999834601795,1.6539823159981043e-06
2024-01-01 00:25:00,-0.1202216586077455,0.2086975722824056,-0.30448224371277294,0,0.9999985169408402,1.4830589201932757e-06
2024-01-01 00:30:00,-0.1990829432850454,-0.02085403251029497,-0.030275571129401737,0,0.9999986090688832,1.390931298233891e-06
2024-01-01 00:35:00,-0.6279842964242348,0.3343238931215279,-0.5513756163655323,0,0.9999957374329722,4.262567343262947e-06
2024-01-01 00:40:00,-0.07740473082628854,-0.2606241312151363,-0.21824380972346621,0,0.9999981906428728,1.8093566759366512e-06
2024-01-01 00:45:00,-0.35627795471502177,0.3176271834355695,-0.14618953022069436,0,0.9999981466870743,1.8533132902639338e-06
2024-01-01 00:50:00,-0.7566762170911714,0.1817434303044843,-0.1411570275405816,0,0.9999972572842448,2.7427155729756902e-06
2024-01-01 00:55:00,-0.5404973704327332,0.07509182457321623,0.13790415463495778,0,0.9999983031408036,1.6968587631303484e-06
2024-01-01 01:00:00,0.09918706448743549,-0.051533818691839775,0.02577288458213931,0,0.9999991142316788,8.857684271506083e-07
2024-01-01 01:05:00,0.0972232723742398,-0.23266206871424444,0.310866493416967,0,0.9999990136416589,9.863586286984497e-07
2024-01-01 01:10:00,-0.26064646869997266,0.14283672605409978,-0.292462573197082,0,0.9999986661732492,1.3338268136203278e-06
2024-01-01 01:15:00,-0.36818785903251733,-0.05899423683376214,-0.15866338164347027,0,0.9999984911257812,1.508874351472573e-06
2024-01-01 01:20:00,-0.392218352523103,-0.7446740249270862,-0.13286501414644158,0,0.9999964951782686,3.5048217488678094e-06
2024-01-01 01:25:00,0.3153230288455397,-0.6982756173535479,-0.446670011409887,0,0.9999933428410841,6.657159278811832e-06
2024-01-01 01:30:00,0.022508424088430724,-0.4080908807996082,0.02371332421552157,0,0.9999977274190671,2.2725809239147943e-06
2024-01-01 01:35:00,-0.05099966166911796,-0.17395217370095642,0.5461981889647114,0,0.9999985812583932,1.4187420461697364e-06
